"Team","MeanAge","ForeignPlayers","Season"
"West Ham",27.3,19,"2001-2002"
"Arsenal",24.2,22,"2001-2002"
"Leeds",24.1,13,"2001-2002"
"Derby",24.5,24,"2001-2002"
"Aston Villa",25.9,14,"2001-2002"
"Everton",26.3,20,"2001-2002"
"Chelsea",24.5,27,"2001-2002"
"Liverpool",24.8,20,"2001-2002"
"Middlesbrough",26.4,17,"2001-2002"
"Spurs",27.2,13,"2001-2002"
"Ipswich",24.7,14,"2001-2002"
"Blackburn",26.5,22,"2001-2002"
"Newcastle",23.9,22,"2001-2002"
"Southampton",26,19,"2001-2002"
"Fulham",25.1,24,"2001-2002"
"Sunderland",24.8,22,"2001-2002"
"Man Utd",26.1,20,"2001-2002"
"Bolton",25.8,27,"2001-2002"
"Leicester",25,13,"2001-2002"
"Charlton",26.3,16,"2001-2002"
