"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€4.25m",26,"2011-02-15"
"2","Norwich City","€15.65m",25,"2011-02-15"
"3","Watford FC","€9.55m",25,"2011-02-15"
"4","Brentford FC","€7.03m",25,"2011-02-15"
"5","Cardiff City","€37.75m",26,"2011-02-15"
"6","Bristol City","€21.70m",29,"2011-02-15"
"7","Swansea City","€20.60m",29,"2011-02-15"
"8","Reading FC","€21.53m",30,"2011-02-15"
"9","Stoke City","€84.75m",24,"2011-02-15"
"10","Blackburn Rovers","€82.55m",25,"2011-02-15"
"11","Nottingham Forest","€29.90m",27,"2011-02-15"
"12","Middlesbrough FC","€37.90m",28,"2011-02-15"
"13","Derby County","€13.45m",29,"2011-02-15"
"14","Huddersfield Town","€10.63m",26,"2011-02-15"
"15","Birmingham City","€90.55m",26,"2011-02-15"
"16","Millwall FC","€11.63m",29,"2011-02-15"
"17","Sheffield Wednesday","€16.35m",25,"2011-02-15"
"18","Preston North End","€20.70m",34,"2011-02-15"
"19","Queens Park Rangers","€39.00m",32,"2011-02-15"
"20","Barnsley FC","€15.95m",28,"2011-02-15"
"21","Luton Town","€2.48m",33,"2011-02-15"
"22","Coventry City","€15.78m",27,"2011-02-15"
"23","Rotherham United","€2.95m",25,"2011-02-15"
"24","Wycombe Wanderers","€4.45m",25,"2011-02-15"
